#Top: ios   Floorplan: io_1   Part: xc7k70tfbv676-2
#Generated by: dpeascoe   on: Fri Feb 20 10:06:56 2015
#Build: Vivado v2015.1   by: xbuild   on: Tue Feb 17 11:45:11 MST 2015

################################################################################
#INVALID / INCOMPLETE PINOUT
#There are 135 unassigned signals in this design. The last 135 rows of this file list these signals.
################################################################################

IO Bank,Pin Number,IOB Alias,Site Type,Min Trace Delay (ps),Max Trace Delay (ps),Trace Length (um),Prohibit,Interface,Signal Name,Direction,DiffPair Type,DiffPair Signal,IO Standard,Drive (mA),Slew Rate,OUTPUT_IMPEDANCE,PRE_EMPHASIS,LVDS_PRE_EMPHASIS,Pull Type,IN_TERM,DIFF_TERM,OFFCHIP_TERM,Board Signal,Board Voltage
0,J7,,DONE_0,133.792,135.136,,,,,,,,,,,,,,,,,,,
0,P5,,M2_0,103.742,104.784,,,,,,,,,,,,,,,,,,,
0,T5,,M0_0,101.600,102.622,,,,,,,,,,,,,,,,,,,
0,T2,,M1_0,117.686,118.868,,,,,,,,,,,,,,,,,,,
0,L7,,VCCO_0,,,,,,,,,,,,,,,,,,,,VCCO_0,
0,T6,,VCCO_0,,,,,,,,,,,,,,,,,,,,VCCO_0,
12,AA21,,VCCO_12,,,,,,,,,,,,,,,,,,,,VCCO_12,
12,AC25,,VCCO_12,,,,,,,,,,,,,,,,,,,,VCCO_12,
12,AD22,,VCCO_12,,,,,,,,,,,,,,,,,,,,VCCO_12,
12,AF26,,VCCO_12,,,,,,,,,,,,,,,,,,,,VCCO_12,
12,U23,,VCCO_12,,,,,,,,,,,,,,,,,,,,VCCO_12,
12,V20,,VCCO_12,,,,,,,,,,,,,,,,,,,,VCCO_12,
12,Y24,,VCCO_12,,,,,,,,,,,,,,,,,,,,VCCO_12,
13,N16,IOB_X0Y49,IO_0_13,53.079,53.613,,,,,,,,,,,,,,,,,,,
13,K25,IOB_X0Y48,IO_L1P_T0_13,130.271,131.581,,,,,,,,,,,,,,,,,,,
13,K26,IOB_X0Y47,IO_L1N_T0_13,132.822,134.156,,,,,,,,,,,,,,,,,,,
13,R26,IOB_X0Y46,IO_L2P_T0_13,107.240,108.318,,,,,,,,,,,,,,,,,,,
13,P26,IOB_X0Y45,IO_L2N_T0_13,113.615,114.757,,,,,,,,,,,,,,,,,,,
13,M25,IOB_X0Y44,IO_L3P_T0_DQS_13,132.402,133.732,,,,,,,,,,,,,,,,,,,
13,L25,IOB_X0Y43,IO_L3N_T0_DQS_13,128.609,129.901,,,,,,,,,,,,,,,,,,,
13,P24,IOB_X0Y42,IO_L4P_T0_13,99.395,100.394,,,,,,,,,,,,,,,,,,,
13,N24,IOB_X0Y41,IO_L4N_T0_13,110.306,111.414,,,,,,,,,,,,,,,,,,,
13,N26,IOB_X0Y40,IO_L5P_T0_13,120.697,121.911,,,,,,,,,,,,,,,,,,,
13,M26,IOB_X0Y39,IO_L5N_T0_13,127.220,128.498,,,,,,,,,,,,,,,,,,,
13,R25,IOB_X0Y38,IO_L6P_T0_13,102.707,103.739,,,,,,,,,,,,,,,,,,,
13,P25,IOB_X0Y37,IO_L6N_T0_VREF_13,107.966,109.052,,true,,,,,,,,,,,,,,,,,
13,N19,IOB_X0Y36,IO_L7P_T1_13,89.283,90.181,,,,,,,,,,,,,,,,,,,
13,M20,IOB_X0Y35,IO_L7N_T1_13,95.448,96.407,,,,,,,,,,,,,,,,,,,
13,M24,IOB_X0Y34,IO_L8P_T1_13,118.576,119.768,,,,,,,,,,,,,,,,,,,
13,L24,IOB_X0Y33,IO_L8N_T1_13,131.078,132.396,,,,,,,,,,,,,,,,,,,
13,P19,IOB_X0Y32,IO_L9P_T1_DQS_13,111.809,112.933,,,,,,,,,,,,,,,,,,,
13,P20,IOB_X0Y31,IO_L9N_T1_DQS_13,114.679,115.831,,,,,,,,,,,,,,,,,,,
13,M21,IOB_X0Y30,IO_L10P_T1_13,107.386,108.466,,,,,,,,,,,,,,,,,,,
13,M22,IOB_X0Y29,IO_L10N_T1_13,114.365,115.515,,,,,,,,,,,,,,,,,,,
13,P23,IOB_X0Y28,IO_L11P_T1_SRCC_13,107.948,109.032,,,,,,,,,,,,,,,,,,,
13,N23,IOB_X0Y27,IO_L11N_T1_SRCC_13,108.217,109.305,,,,,,,,,,,,,,,,,,,
13,N21,IOB_X0Y26,IO_L12P_T1_MRCC_13,114.002,115.148,,,,,,,,,,,,,,,,,,,
13,N22,IOB_X0Y25,IO_L12N_T1_MRCC_13,111.973,113.099,,,,,,,,,,,,,,,,,,,
13,R21,IOB_X0Y24,IO_L13P_T2_MRCC_13,88.879,89.772,,,,,,,,,,,,,,,,,,,
13,P21,IOB_X0Y23,IO_L13N_T2_MRCC_13,88.299,89.187,,,,,,,,,,,,,,,,,,,
13,R22,IOB_X0Y22,IO_L14P_T2_SRCC_13,101.994,103.020,,,,,,,,,,,,,,,,,,,
13,R23,IOB_X0Y21,IO_L14N_T2_SRCC_13,100.273,101.281,,,,,,,,,,,,,,,,,,,
13,T24,IOB_X0Y20,IO_L15P_T2_DQS_13,100.139,101.145,,,,,,,,,,,,,,,,,,,
13,T25,IOB_X0Y19,IO_L15N_T2_DQS_13,103.051,104.087,,,,,,,,,,,,,,,,,,,
13,T20,IOB_X0Y18,IO_L16P_T2_13,85.448,86.307,,,,,,,,,,,,,,,,,,,
13,R20,IOB_X0Y17,IO_L16N_T2_13,89.341,90.239,,,,,,,,,,,,,,,,,,,
13,T22,IOB_X0Y16,IO_L17P_T2_13,95.686,96.648,,,,,,,,,,,,,,,,,,,
13,T23,IOB_X0Y15,IO_L17N_T2_13,92.069,92.994,,,,,,,,,,,,,,,,,,,
13,U19,IOB_X0Y14,IO_L18P_T2_13,71.998,72.721,,,,,,,,,,,,,,,,,,,
13,U20,IOB_X0Y13,IO_L18N_T2_13,67.181,67.856,,,,,,,,,,,,,,,,,,,
13,T18,IOB_X0Y12,IO_L19P_T3_13,78.013,78.797,,,,,,,,,,,,,,,,,,,
13,T19,IOB_X0Y11,IO_L19N_T3_VREF_13,72.406,73.133,,true,,,,,,,,,,,,,,,,,
13,P16,IOB_X0Y10,IO_L20P_T3_13,57.553,58.131,,,,,,,,,,,,,,,,,,,
13,N17,IOB_X0Y9,IO_L20N_T3_13,75.700,76.461,,,,,,,,,,,,,,,,,,,
13,R16,IOB_X0Y8,IO_L21P_T3_DQS_13,75.212,75.968,,,,,,,,,,,,,,,,,,,
13,R17,IOB_X0Y7,IO_L21N_T3_DQS_13,71.893,72.616,,,,,,,,,,,,,,,,,,,
13,N18,IOB_X0Y6,IO_L22P_T3_13,91.210,92.126,,,,,,,,,,,,,,,,,,,
13,M19,IOB_X0Y5,IO_L22N_T3_13,91.875,92.798,,,,,,,,,,,,,,,,,,,
13,U17,IOB_X0Y4,IO_L23P_T3_13,48.985,49.478,,,,,,,,,,,,,,,,,,,
13,T17,IOB_X0Y3,IO_L23N_T3_13,50.823,51.334,,,,,,,,,,,,,,,,,,,
13,R18,IOB_X0Y2,IO_L24P_T3_13,77.245,78.021,,,,,,,,,,,,,,,,,,,
13,P18,IOB_X0Y1,IO_L24N_T3_13,81.786,82.608,,,,,,,,,,,,,,,,,,,
13,U16,IOB_X0Y0,IO_25_13,64.919,65.572,,,,,,,,,,,,,,,,,,,
13,K24,,VCCO_13,,,,,,,,,,,,,,,,,,,,VCCO_13,
13,N25,,VCCO_13,,,,,,,,,,,,,,,,,,,,VCCO_13,
13,P22,,VCCO_13,,,,,,,,,,,,,,,,,,,,VCCO_13,
13,R19,,VCCO_13,,,,,,,,,,,,,,,,,,,,VCCO_13,
13,T16,,VCCO_13,,,,,,,,,,,,,,,,,,,,VCCO_13,
13,T26,,VCCO_13,,,,,,,,,,,,,,,,,,,,VCCO_13,
14,K21,IOB_X0Y99,IO_0_14,92.865,93.798,,,,,,,,,,,,,,,,,,,
14,B24,IOB_X0Y98,IO_L1P_T0_D00_MOSI_14,157.521,159.105,,,,,,,,,,,,,,,,,,,
14,A25,IOB_X0Y97,IO_L1N_T0_D01_DIN_14,172.052,173.782,,,,,,,,,,,,,,,,,,,
14,B22,IOB_X0Y96,IO_L2P_T0_D02_14,147.296,148.776,,,,,,,,,,,,,,,,,,,
14,A22,IOB_X0Y95,IO_L2N_T0_D03_14,156.940,158.518,,,,,,,,,,,,,,,,,,,
14,B25,IOB_X0Y94,IO_L3P_T0_DQS_PUDC_B_14,172.020,173.748,,,,,,,,,,,,,,,,,,,
14,B26,IOB_X0Y93,IO_L3N_T0_DQS_EMCCLK_14,172.067,173.797,,,,,,,,,,,,,,,,,,,
14,A23,IOB_X0Y92,IO_L4P_T0_D04_14,165.806,167.472,,,,,,,,,,,,,,,,,,,
14,A24,IOB_X0Y91,IO_L4N_T0_D05_14,177.503,179.287,,,,,,,,,,,,,,,,,,,
14,D26,IOB_X0Y90,IO_L5P_T0_D06_14,169.203,170.903,,,,,,,,,,,,,,,,,,,
14,C26,IOB_X0Y89,IO_L5N_T0_D07_14,169.927,171.635,,,,,,,,,,,,,,,,,,,
14,C23,IOB_X0Y88,IO_L6P_T0_FCS_B_14,143.983,145.431,,,,,,,,,,,,,,,,,,,
14,C24,IOB_X0Y87,IO_L6N_T0_D08_VREF_14,151.669,153.193,,true,,,,,,,,,,,,,,,,,
14,D21,IOB_X0Y86,IO_L7P_T1_D09_14,164.646,166.300,,,,,,,,,,,,,,,,,,,
14,C22,IOB_X0Y85,IO_L7N_T1_D10_14,166.699,168.375,,,,,,,,,,,,,,,,,,,
14,B20,IOB_X0Y84,IO_L8P_T1_D11_14,156.443,158.015,,,,,,,,,,,,,,,,,,,
14,A20,IOB_X0Y83,IO_L8N_T1_D12_14,164.620,166.274,,,,,,,,,,,,,,,,,,,
14,E21,IOB_X0Y82,IO_L9P_T1_DQS_14,142.261,143.691,,,,,,,,,,,,,,,,,,,
14,E22,IOB_X0Y81,IO_L9N_T1_DQS_D13_14,143.029,144.467,,,,,,,,,,,,,,,,,,,
14,C21,IOB_X0Y80,IO_L10P_T1_D14_14,147.820,149.306,,,,,,,,,,,,,,,,,,,
14,B21,IOB_X0Y79,IO_L10N_T1_D15_14,159.885,161.491,,,,,,,,,,,,,,,,,,,
14,D23,IOB_X0Y78,IO_L11P_T1_SRCC_14,154.342,155.894,,,,,,,,,,,,,,,,,,,
14,D24,IOB_X0Y77,IO_L11N_T1_SRCC_14,156.850,158.426,,,,,,,,,,,,,,,,,,,
14,F22,IOB_X0Y76,IO_L12P_T1_MRCC_14,135.570,136.932,,,,,,,,,,,,,,,,,,,
14,E23,IOB_X0Y75,IO_L12N_T1_MRCC_14,139.825,141.231,,,,,,,,,,,,,,,,,,,
14,G22,IOB_X0Y74,IO_L13P_T2_MRCC_14,131.576,132.898,,,,,,,,,,,,,,,,,,,
14,F23,IOB_X0Y73,IO_L13N_T2_MRCC_14,134.953,136.309,,,,,,,,,,,,,,,,,,,
14,G24,IOB_X0Y72,IO_L14P_T2_SRCC_14,138.300,139.690,,,,,,,,,,,,,,,,,,,
14,F24,IOB_X0Y71,IO_L14N_T2_SRCC_14,138.438,139.830,,,,,,,,,,,,,,,,,,,
14,E25,IOB_X0Y70,IO_L15P_T2_DQS_RDWR_B_14,162.233,163.863,,,,,,,,,,,,,,,,,,,
14,D25,IOB_X0Y69,IO_L15N_T2_DQS_DOUT_CSO_B_14,165.211,166.871,,,,,,,,,,,,,,,,,,,
14,G25,IOB_X0Y68,IO_L16P_T2_CSI_B_14,141.637,143.061,,,,,,,,,,,,,,,,,,,
14,G26,IOB_X0Y67,IO_L16N_T2_A15_D31_14,141.113,142.531,,,,,,,,,,,,,,,,,,,
14,F25,IOB_X0Y66,IO_L17P_T2_A14_D30_14,164.111,165.761,,,,,,,,,,,,,,,,,,,
14,E26,IOB_X0Y65,IO_L17N_T2_A13_D29_14,163.776,165.422,,,,,,,,,,,,,,,,,,,
14,J26,IOB_X0Y64,IO_L18P_T2_A12_D28_14,143.072,144.510,,,,,,,,,,,,,,,,,,,
14,H26,IOB_X0Y63,IO_L18N_T2_A11_D27_14,139.182,140.580,,,,,,,,,,,,,,,,,,,
14,H21,IOB_X0Y62,IO_L19P_T3_A10_D26_14,130.166,131.474,,,,,,,,,,,,,,,,,,,
14,G21,IOB_X0Y61,IO_L19N_T3_A09_D25_VREF_14,132.453,133.785,,true,,,,,,,,,,,,,,,,,
14,H23,IOB_X0Y60,IO_L20P_T3_A08_D24_14,132.371,133.701,,,,,,,,,,,,,,,,,,,
14,H24,IOB_X0Y59,IO_L20N_T3_A07_D23_14,127.375,128.655,,,,,,,,,,,,,,,,,,,
14,J21,IOB_X0Y58,IO_L21P_T3_DQS_14,144.619,146.073,,,,,,,,,,,,,,,,,,,
14,H22,IOB_X0Y57,IO_L21N_T3_DQS_A06_D22_14,146.502,147.974,,,,,,,,,,,,,,,,,,,
14,J24,IOB_X0Y56,IO_L22P_T3_A05_D21_14,130.948,132.264,,,,,,,,,,,,,,,,,,,
14,J25,IOB_X0Y55,IO_L22N_T3_A04_D20_14,129.077,130.375,,,,,,,,,,,,,,,,,,,
14,L22,IOB_X0Y54,IO_L23P_T3_A03_D19_14,136.817,138.193,,,,,,,,,,,,,,,,,,,
14,K22,IOB_X0Y53,IO_L23N_T3_A02_D18_14,138.113,139.501,,,,,,,,,,,,,,,,,,,
14,K23,IOB_X0Y52,IO_L24P_T3_A01_D17_14,129.386,130.686,,,,,,,,,,,,,,,,,,,
14,J23,IOB_X0Y51,IO_L24N_T3_A00_D16_14,128.523,129.815,,,,,,,,,,,,,,,,,,,
14,L23,IOB_X0Y50,IO_25_14,136.210,137.578,,,,,,,,,,,,,,,,,,,
14,A21,,VCCO_14,,,,,,,,,,,,,,,,,,,,VCCO_14,
14,C25,,VCCO_14,,,,,,,,,,,,,,,,,,,,VCCO_14,
14,D22,,VCCO_14,,,,,,,,,,,,,,,,,,,,VCCO_14,
14,F26,,VCCO_14,,,,,,,,,,,,,,,,,,,,VCCO_14,
14,G23,,VCCO_14,,,,,,,,,,,,,,,,,,,,VCCO_14,
14,L21,,VCCO_14,,,,,,,,,,,,,,,,,,,,VCCO_14,
15,K15,IOB_X0Y149,IO_0_15,94.136,95.082,,,,,,,,,,,,,,,,,,,
15,C16,IOB_X0Y148,IO_L1P_T0_AD0P_15,110.100,111.206,,,,,,,,,,,,,,,,,,,
15,B16,IOB_X0Y147,IO_L1N_T0_AD0N_15,115.650,116.812,,,,,,,,,,,,,,,,,,,
15,A18,IOB_X0Y146,IO_L2P_T0_AD8P_15,128.661,129.955,,,,,,,,,,,,,,,,,,,
15,A19,IOB_X0Y145,IO_L2N_T0_AD8N_15,132.655,133.989,,,,,,,,,,,,,,,,,,,
15,B17,IOB_X0Y144,IO_L3P_T0_DQS_AD1P_15,124.720,125.974,,,,,,,,,,,,,,,,,,,
15,A17,IOB_X0Y143,IO_L3N_T0_DQS_AD1N_15,126.673,127.947,,,,,,,,,,,,,,,,,,,
15,C19,IOB_X0Y142,IO_L4P_T0_AD9P_15,118.221,119.409,,,,,,,,,,,,,,,,,,,
15,B19,IOB_X0Y141,IO_L4N_T0_AD9N_15,125.963,127.229,,,,,,,,,,,,,,,,,,,
15,C17,IOB_X0Y140,IO_L5P_T0_AD2P_15,110.182,111.290,,,,,,,,,,,,,,,,,,,
15,C18,IOB_X0Y139,IO_L5N_T0_AD2N_15,116.434,117.604,,,,,,,,,,,,,,,,,,,
15,D15,IOB_X0Y138,IO_L6P_T0_15,114.838,115.992,,,,,,,,,,,,,,,,,,,
15,D16,IOB_X0Y137,IO_L6N_T0_VREF_15,116.092,117.258,,true,,,,,,,,,,,,,,,,,
15,H16,IOB_X0Y136,IO_L7P_T1_AD10P_15,74.160,74.906,,,,,,,,,,,,,,,,,,,
15,G16,IOB_X0Y135,IO_L7N_T1_AD10N_15,81.168,81.983,,,,,,,,,,,,,,,,,,,
15,G15,IOB_X0Y134,IO_L8P_T1_AD3P_15,109.756,110.860,,,,,,,,,,,,,,,,,,,
15,F15,IOB_X0Y133,IO_L8N_T1_AD3N_15,114.212,115.360,,,,,,,,,,,,,,,,,,,
15,J15,IOB_X0Y132,IO_L9P_T1_DQS_AD11P_15,85.301,86.158,,,,,,,,,,,,,,,,,,,
15,J16,IOB_X0Y131,IO_L9N_T1_DQS_AD11N_15,83.398,84.236,,,,,,,,,,,,,,,,,,,
15,E15,IOB_X0Y130,IO_L10P_T1_AD4P_15,116.822,117.996,,,,,,,,,,,,,,,,,,,
15,E16,IOB_X0Y129,IO_L10N_T1_AD4N_15,115.586,116.748,,,,,,,,,,,,,,,,,,,
15,G17,IOB_X0Y128,IO_L11P_T1_SRCC_AD12P_15,86.423,87.291,,,,,,,,,,,,,,,,,,,
15,F18,IOB_X0Y127,IO_L11N_T1_SRCC_AD12N_15,87.517,88.396,,,,,,,,,,,,,,,,,,,
15,F17,IOB_X0Y126,IO_L12P_T1_MRCC_AD5P_15,109.230,110.328,,,,,,,,,,,,,,,,,,,
15,E17,IOB_X0Y125,IO_L12N_T1_MRCC_AD5N_15,112.880,114.014,,,,,,,,,,,,,,,,,,,
15,E18,IOB_X0Y124,IO_L13P_T2_MRCC_15,114.070,115.216,,,,,,,,,,,,,,,,,,,
15,D18,IOB_X0Y123,IO_L13N_T2_MRCC_15,112.932,114.066,,,,,,,,,,,,,,,,,,,
15,H17,IOB_X0Y122,IO_L14P_T2_SRCC_15,85.778,86.641,,,,,,,,,,,,,,,,,,,
15,H18,IOB_X0Y121,IO_L14N_T2_SRCC_15,86.239,87.106,,,,,,,,,,,,,,,,,,,
15,D19,IOB_X0Y120,IO_L15P_T2_DQS_15,120.195,121.403,,,,,,,,,,,,,,,,,,,
15,D20,IOB_X0Y119,IO_L15N_T2_DQS_ADV_B_15,118.511,119.703,,,,,,,,,,,,,,,,,,,
15,G19,IOB_X0Y118,IO_L16P_T2_A28_15,91.566,92.486,,,,,,,,,,,,,,,,,,,
15,F20,IOB_X0Y117,IO_L16N_T2_A27_15,92.023,92.948,,,,,,,,,,,,,,,,,,,
15,F19,IOB_X0Y116,IO_L17P_T2_A26_15,116.631,117.803,,,,,,,,,,,,,,,,,,,
15,E20,IOB_X0Y115,IO_L17N_T2_A25_15,110.639,111.751,,,,,,,,,,,,,,,,,,,
15,H19,IOB_X0Y114,IO_L18P_T2_A24_15,86.924,87.797,,,,,,,,,,,,,,,,,,,
15,G20,IOB_X0Y113,IO_L18N_T2_A23_15,89.015,89.909,,,,,,,,,,,,,,,,,,,
15,K20,IOB_X0Y112,IO_L19P_T3_A22_15,101.831,102.855,,,,,,,,,,,,,,,,,,,
15,J20,IOB_X0Y111,IO_L19N_T3_A21_VREF_15,96.534,97.504,,true,,,,,,,,,,,,,,,,,
15,J18,IOB_X0Y110,IO_L20P_T3_A20_15,76.586,77.355,,,,,,,,,,,,,,,,,,,
15,J19,IOB_X0Y109,IO_L20N_T3_A19_15,72.988,73.722,,,,,,,,,,,,,,,,,,,
15,L19,IOB_X0Y108,IO_L21P_T3_DQS_15,93.967,94.911,,,,,,,,,,,,,,,,,,,
15,L20,IOB_X0Y107,IO_L21N_T3_DQS_A18_15,95.681,96.643,,,,,,,,,,,,,,,,,,,
15,K16,IOB_X0Y106,IO_L22P_T3_A17_15,87.201,88.077,,,,,,,,,,,,,,,,,,,
15,K17,IOB_X0Y105,IO_L22N_T3_A16_15,78.192,78.978,,,,,,,,,,,,,,,,,,,
15,M17,IOB_X0Y104,IO_L23P_T3_FOE_B_15,106.745,107.817,,,,,,,,,,,,,,,,,,,
15,L18,IOB_X0Y103,IO_L23N_T3_FWE_B_15,91.053,91.968,,,,,,,,,,,,,,,,,,,
15,L17,IOB_X0Y102,IO_L24P_T3_RS1_15,75.757,76.519,,,,,,,,,,,,,,,,,,,
15,K18,IOB_X0Y101,IO_L24N_T3_RS0_15,70.258,70.964,,,,,,,,,,,,,,,,,,,
15,M16,IOB_X0Y100,IO_25_15,44.193,44.638,,,,,,,,,,,,,,,,,,,
15,B18,,VCCO_15,,,,,,,,,,,,,,,,,,,,VCCO_15,
15,E19,,VCCO_15,,,,,,,,,,,,,,,,,,,,VCCO_15,
15,F16,,VCCO_15,,,,,,,,,,,,,,,,,,,,VCCO_15,
15,H20,,VCCO_15,,,,,,,,,,,,,,,,,,,,VCCO_15,
15,J17,,VCCO_15,,,,,,,,,,,,,,,,,,,,VCCO_15,
15,M18,,VCCO_15,,,,,,,,,,,,,,,,,,,,VCCO_15,
16,J8,IOB_X0Y199,IO_0_16,111.141,112.257,,,,,,,,,,,,,,,,,,,
16,H9,IOB_X0Y198,IO_L1P_T0_16,92.583,93.513,,,,,,,,,,,,,,,,,,,
16,H8,IOB_X0Y197,IO_L1N_T0_16,98.032,99.018,,,,,,,,,,,,,,,,,,,
16,G10,IOB_X0Y196,IO_L2P_T0_16,89.341,90.239,,,,,,,,,,,,,,,,,,,
16,G9,IOB_X0Y195,IO_L2N_T0_16,92.513,93.442,,,,,,,,,,,,,,,,,,,
16,J13,IOB_X0Y194,IO_L3P_T0_DQS_16,70.427,71.135,,,,,,,,,,,,,,,,,,,
16,H13,IOB_X0Y193,IO_L3N_T0_DQS_16,67.568,68.247,,,,,,,,,,,,,,,,,,,
16,J11,IOB_X0Y192,IO_L4P_T0_16,89.514,90.414,,,,,,,,,,,,,,,,,,,
16,J10,IOB_X0Y191,IO_L4N_T0_16,97.118,98.094,,,,,,,,,,,,,,,,,,,
16,H14,IOB_X0Y190,IO_L5P_T0_16,62.175,62.800,,,,,,,,,,,,,,,,,,,
16,G14,IOB_X0Y189,IO_L5N_T0_16,57.130,57.704,,,,,,,,,,,,,,,,,,,
16,H12,IOB_X0Y188,IO_L6P_T0_16,88.907,89.801,,,,,,,,,,,,,,,,,,,
16,H11,IOB_X0Y187,IO_L6N_T0_VREF_16,98.417,99.406,,true,,,,,,,,,,,,,,,,,
16,F9,IOB_X0Y186,IO_L7P_T1_16,134.483,135.835,,,,,,,,,,,,,,,,,,,
16,F8,IOB_X0Y185,IO_L7N_T1_16,131.842,133.168,,,,,,,,,,,,,,,,,,,
16,D9,IOB_X0Y184,IO_L8P_T1_16,120.066,121.272,,,,,,,,,,,,,,,,,,,
16,D8,IOB_X0Y183,IO_L8N_T1_16,132.126,133.454,,,,,,,,,,,,,,,,,,,
16,A9,IOB_X0Y182,IO_L9P_T1_DQS_16,136.390,137.760,,,,,,,,,,,,,,,,,,,
16,A8,IOB_X0Y181,IO_L9N_T1_DQS_16,133.962,135.308,,,,,,,,,,,,,,,,,,,
16,C9,IOB_X0Y180,IO_L10P_T1_16,127.692,128.976,,,,,,,,,,,,,,,,,,,
16,B9,IOB_X0Y179,IO_L10N_T1_16,134.976,136.332,,,,,,,,,,,,,,,,,,,
16,G11,IOB_X0Y178,IO_L11P_T1_SRCC_16,104.569,105.619,,,,,,,,,,,,,,,,,,,
16,F10,IOB_X0Y177,IO_L11N_T1_SRCC_16,107.251,108.329,,,,,,,,,,,,,,,,,,,
16,E10,IOB_X0Y176,IO_L12P_T1_MRCC_16,120.021,121.227,,,,,,,,,,,,,,,,,,,
16,D10,IOB_X0Y175,IO_L12N_T1_MRCC_16,118.562,119.754,,,,,,,,,,,,,,,,,,,
16,C12,IOB_X0Y174,IO_L13P_T2_MRCC_16,113.064,114.200,,,,,,,,,,,,,,,,,,,
16,C11,IOB_X0Y173,IO_L13N_T2_MRCC_16,116.363,117.533,,,,,,,,,,,,,,,,,,,
16,E11,IOB_X0Y172,IO_L14P_T2_SRCC_16,91.861,92.785,,,,,,,,,,,,,,,,,,,
16,D11,IOB_X0Y171,IO_L14N_T2_SRCC_16,94.442,95.391,,,,,,,,,,,,,,,,,,,
16,F14,IOB_X0Y170,IO_L15P_T2_DQS_16,105.759,106.821,,,,,,,,,,,,,,,,,,,
16,F13,IOB_X0Y169,IO_L15N_T2_DQS_16,109.789,110.893,,,,,,,,,,,,,,,,,,,
16,G12,IOB_X0Y168,IO_L16P_T2_16,76.021,76.785,,,,,,,,,,,,,,,,,,,
16,F12,IOB_X0Y167,IO_L16N_T2_16,82.892,83.725,,,,,,,,,,,,,,,,,,,
16,D14,IOB_X0Y166,IO_L17P_T2_16,102.054,103.080,,,,,,,,,,,,,,,,,,,
16,D13,IOB_X0Y165,IO_L17N_T2_16,104.492,105.542,,,,,,,,,,,,,,,,,,,
16,E13,IOB_X0Y164,IO_L18P_T2_16,83.520,84.360,,,,,,,,,,,,,,,,,,,
16,E12,IOB_X0Y163,IO_L18N_T2_16,90.531,91.440,,,,,,,,,,,,,,,,,,,
16,C14,IOB_X0Y162,IO_L19P_T3_16,111.197,112.315,,,,,,,,,,,,,,,,,,,
16,C13,IOB_X0Y161,IO_L19N_T3_VREF_16,113.300,114.438,,true,,,,,,,,,,,,,,,,,
16,B12,IOB_X0Y160,IO_L20P_T3_16,110.998,112.114,,,,,,,,,,,,,,,,,,,
16,B11,IOB_X0Y159,IO_L20N_T3_16,113.885,115.029,,,,,,,,,,,,,,,,,,,
16,B14,IOB_X0Y158,IO_L21P_T3_DQS_16,119.929,121.135,,,,,,,,,,,,,,,,,,,
16,A14,IOB_X0Y157,IO_L21N_T3_DQS_16,123.337,124.577,,,,,,,,,,,,,,,,,,,
16,B10,IOB_X0Y156,IO_L22P_T3_16,136.939,138.315,,,,,,,,,,,,,,,,,,,
16,A10,IOB_X0Y155,IO_L22N_T3_16,143.914,145.360,,,,,,,,,,,,,,,,,,,
16,B15,IOB_X0Y154,IO_L23P_T3_16,120.827,122.041,,,,,,,,,,,,,,,,,,,
16,A15,IOB_X0Y153,IO_L23N_T3_16,123.908,125.154,,,,,,,,,,,,,,,,,,,
